Import Sequence Number,Subject,Date Created,Start Date,Actual Start,Actual End,Priority,(IG)RegardingType,(IG)RegardingIndex,RegardingIndexID,RegardingName,Activity Status,Status Reason,Description
101294,Internal meeting: Opportunity: [30786] Opportunity for Altria Group $1600.72 This Year,5/18/2022,5/18/2022,5/18/2022,5/18/2022,Normal,3,Opportunity,30786,[30786] Opportunity for Altria Group $1600.72 This Year,Open,Free,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
101295,Discovery meeting: Account: Digital Realty Trust,3/22/2022,3/31/2022,3/31/2022,3/31/2022,High,1,Account,100746,Digital Realty Trust,Scheduled,Busy,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
101296,Site visit: Opportunity: [30472] Opportunity for Leidos Holdings $6439.77 This Quarter,4/15/2022,4/15/2022,4/15/2022,4/15/2022,High,3,Opportunity,30472,[30472] Opportunity for Leidos Holdings $6439.77 This Quarter,Completed,Completed,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
101297,QBR: Case: [11553] Question: Charles Li at Antero Resources,3/28/2022,4/4/2022,4/4/2022,4/4/2022,Normal,4,Case,11553,[11553] Question: Charles Li at Antero Resources,Canceled,Canceled,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
101298,Closeout Meeting: Account: Country Financial,4/16/2022,4/25/2022,4/25/2022,4/25/2022,High,1,Account,100656,Country Financial,Open,Free,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
101299,Site visit: Contact: Bonnie Lopez,3/21/2022,3/29/2022,3/29/2022,3/29/2022,High,2,Contact,203425,Bonnie Lopez,Canceled,Canceled,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
101300,Onsite: Case: [14016] Problem: Barbara Lo at Comerica,4/12/2022,4/12/2022,4/12/2022,4/12/2022,High,4,Case,14016,[14016] Problem: Barbara Lo at Comerica,Canceled,Canceled,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
101301,Follow up: Opportunity: [32013] Opportunity for Rent-A-Center $1889.92 Immediate,5/17/2022,5/24/2022,5/24/2022,5/24/2022,High,3,Opportunity,32013,[32013] Opportunity for Rent-A-Center $1889.92 Immediate,Canceled,Canceled,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
101302,Closeout Meeting: Contact: Ashley White,3/16/2022,3/19/2022,3/19/2022,3/19/2022,High,2,Contact,201744,Ashley White,Completed,Completed,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
101303,Demo: Contact: Linda Lopez,4/25/2022,5/3/2022,5/3/2022,5/3/2022,High,2,Contact,200597,Linda Lopez,Completed,Completed,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
101304,Discovery meeting: Contact: Michelle Franklin,5/13/2022,5/13/2022,5/13/2022,5/13/2022,High,2,Contact,200841,Michelle Franklin,Canceled,Canceled,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
101305,Internal meeting: Case: [12556] Request: Kimberly Campbell at A-Mark Precious Metals,5/13/2022,5/21/2022,5/21/2022,5/21/2022,Normal,4,Case,12556,[12556] Request: Kimberly Campbell at A-Mark Precious Metals,Completed,Completed,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
101306,Meeting:  Account: News Corp.,3/1/2022,3/4/2022,3/4/2022,3/4/2022,Normal,1,Account,100318,News Corp.,Canceled,Canceled,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
101307,Follow up: Case: [13137] Problem: Paul Williams at Beazer Homes USA,5/2/2022,5/4/2022,5/4/2022,5/4/2022,Normal,4,Case,13137,[13137] Problem: Paul Williams at Beazer Homes USA,Scheduled,Busy,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
101308,QBR: Case: [11379] Request: Fred Mitchell at NiSource,2/24/2022,2/24/2022,2/24/2022,2/24/2022,High,4,Case,11379,[11379] Request: Fred Mitchell at NiSource,Canceled,Canceled,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
101309,Discovery meeting: Account: Fidelity National Information Services,4/30/2022,4/30/2022,4/30/2022,4/30/2022,Normal,1,Account,100303,Fidelity National Information Services,Open,Free,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
101310,Discovery meeting: Case: [10472] Request: Ted Mitchell at Synopsys,5/7/2022,5/16/2022,5/16/2022,5/16/2022,High,4,Case,10472,[10472] Request: Ted Mitchell at Synopsys,Canceled,Canceled,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
101311,Onsite: Contact: Kimberly Lee,4/12/2022,4/15/2022,4/15/2022,4/15/2022,Normal,2,Contact,204972,Kimberly Lee,Scheduled,Busy,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
101312,Site visit: Account: Builders FirstSource,3/13/2022,3/15/2022,3/15/2022,3/15/2022,High,1,Account,100425,Builders FirstSource,Completed,Completed,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
101313,Onsite: Contact: Beth Lee,5/15/2022,5/15/2022,5/15/2022,5/15/2022,High,2,Contact,204091,Beth Lee,Canceled,Canceled,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
101314,Site visit: Case: [12162] Question: Ryan Washington at Boyd Gaming,3/10/2022,3/11/2022,3/11/2022,3/11/2022,Normal,4,Case,12162,[12162] Question: Ryan Washington at Boyd Gaming,Open,Free,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
101315,Internal meeting: Opportunity: [34449] Opportunity for Dow $18739.59 Next Quarter,5/25/2022,5/28/2022,5/28/2022,5/28/2022,Low ,3,Opportunity,34449,[34449] Opportunity for Dow $18739.59 Next Quarter,Canceled,Canceled,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
101316,Site visit: Case: [11340] Request: Dorothy Wills at Calpine,2/24/2022,2/25/2022,2/25/2022,2/25/2022,Low ,4,Case,11340,[11340] Request: Dorothy Wills at Calpine,Completed,Completed,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
101317,Onsite: Account: Avon Products,4/21/2022,4/23/2022,4/23/2022,4/23/2022,Low ,1,Account,101018,Avon Products,Scheduled,Busy,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
101318,Discovery meeting: Opportunity: [30265] Opportunity for Bed Bath & Beyond $23958.74 Next Quarter,3/9/2022,3/16/2022,3/16/2022,3/16/2022,Low ,3,Opportunity,30265,[30265] Opportunity for Bed Bath & Beyond $23958.74 Next Quarter,Open,Free,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
101319,Discovery meeting: Opportunity: [32347] Opportunity for Cheniere Energy $7668.82 This Quarter,5/21/2022,5/26/2022,5/26/2022,5/26/2022,Low ,3,Opportunity,32347,[32347] Opportunity for Cheniere Energy $7668.82 This Quarter,Canceled,Canceled,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
101320,Discovery meeting: Opportunity: [30135] Opportunity for Expedia Group $19837.4 This Year,3/13/2022,3/13/2022,3/13/2022,3/13/2022,High,3,Opportunity,30135,[30135] Opportunity for Expedia Group $19837.4 This Year,Open,Free,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
101321,Design meeting: Contact: Christopher Campbell,4/25/2022,4/25/2022,4/25/2022,4/25/2022,High,2,Contact,203635,Christopher Campbell,Scheduled,Busy,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
101322,Onsite: Account: Graybar Electric,5/3/2022,5/11/2022,5/11/2022,5/11/2022,Normal,1,Account,100415,Graybar Electric,Scheduled,Busy,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
101323,Site visit: Account: O'Reilly Automotive,5/25/2022,5/25/2022,5/25/2022,5/25/2022,Low ,1,Account,100314,O'Reilly Automotive,Open,Free,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
101324,QBR: Opportunity: [31476] Opportunity for Auto-Owners Insurance $9368.74 Immediate,4/21/2022,4/25/2022,4/25/2022,4/25/2022,High,3,Opportunity,31476,[31476] Opportunity for Auto-Owners Insurance $9368.74 Immediate,Completed,Completed,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
101325,Meeting:  Case: [11217] Question: Jim Jimenez at Ciena,5/20/2022,5/29/2022,5/29/2022,5/29/2022,Normal,4,Case,11217,[11217] Question: Jim Jimenez at Ciena,Completed,Completed,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
101326,Meeting:  Contact: Lisa Moore,3/23/2022,3/24/2022,3/24/2022,3/24/2022,Low ,2,Contact,204713,Lisa Moore,Completed,Completed,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
101327,Discovery meeting: Account: SunTrust Banks,3/19/2022,3/24/2022,3/24/2022,3/24/2022,Normal,1,Account,101013,SunTrust Banks,Canceled,Canceled,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
101328,Demo: Case: [14641] Problem: James Washington at SVB Financial Group,4/1/2022,4/5/2022,4/5/2022,4/5/2022,Normal,4,Case,14641,[14641] Problem: James Washington at SVB Financial Group,Open,Free,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
101329,Meeting:  Opportunity: [35035] Opportunity for CA $26085.96 This Year,4/7/2022,4/11/2022,4/11/2022,4/11/2022,Normal,3,Opportunity,35035,[35035] Opportunity for CA $26085.96 This Year,Canceled,Canceled,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
101330,QBR: Contact: Shirley Tan,5/15/2022,5/22/2022,5/22/2022,5/22/2022,Normal,2,Contact,204537,Shirley Tan,Open,Free,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
101331,Discovery meeting: Opportunity: [30914] Opportunity for Arrow Electronics $5022.72 This Year,4/27/2022,4/29/2022,4/29/2022,4/29/2022,High,3,Opportunity,30914,[30914] Opportunity for Arrow Electronics $5022.72 This Year,Open,Free,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
101332,Meeting:  Case: [14616] Question: Tom Hernandez at Quanta Services,4/9/2022,4/12/2022,4/12/2022,4/12/2022,High,4,Case,14616,[14616] Question: Tom Hernandez at Quanta Services,Completed,Completed,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
101333,Onsite: Case: [14336] Problem: Jim Mitchell at Modine Manufacturing,4/10/2022,4/14/2022,4/14/2022,4/14/2022,High,4,Case,14336,[14336] Problem: Jim Mitchell at Modine Manufacturing,Scheduled,Busy,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
101334,Internal meeting: Contact: Sara Nguyen,5/1/2022,5/10/2022,5/10/2022,5/10/2022,Low ,2,Contact,200308,Sara Nguyen,Completed,Completed,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
101335,Design meeting: Opportunity: [34328] Opportunity for NVR $30676.86 This Quarter,4/2/2022,4/10/2022,4/10/2022,4/10/2022,Low ,3,Opportunity,34328,[34328] Opportunity for NVR $30676.86 This Quarter,Open,Free,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
101336,Onsite: Contact: Karen Walker,2/26/2022,2/27/2022,2/27/2022,2/27/2022,Low ,2,Contact,201736,Karen Walker,Scheduled,Busy,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
101337,Closeout Meeting: Case: [13865] Problem: Kathleen Chan at TJX,5/17/2022,5/19/2022,5/19/2022,5/19/2022,Low ,4,Case,13865,[13865] Problem: Kathleen Chan at TJX,Canceled,Canceled,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
101338,Internal meeting: Account: Twitter,4/12/2022,4/14/2022,4/14/2022,4/14/2022,Low ,1,Account,100704,Twitter,Completed,Completed,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
101339,Design meeting: Contact: Fred Wills,5/22/2022,5/26/2022,5/26/2022,5/26/2022,Normal,2,Contact,200435,Fred Wills,Canceled,Canceled,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
